scheme,risk_version,budget,seed,mode,target_abstain,selector,settings,accepted,rejected,abstained,accept_pct,abstain_pct,reject_pct,abstention_gap,abstention_gap_pct,matched,false_safe_count,false_safe_accepted_pct,false_safe_nonabstained_pct,false_safe_all_pct,false_safe_denominator,unsafe_accept_count
block,bootstrap,baseline_linked,7,paper_natural,0.25,LCB only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,32,26.666666666666668,26.666666666666668,26.666666666666668,ACCEPT decisions,63
block,bootstrap,baseline_linked,7,paper_natural,0.25,Risk only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,36,30.0,30.0,30.0,ACCEPT decisions,36
block,bootstrap,baseline_linked,7,paper_natural,0.25,SCROPE++,120,80,23,17,66.66666666666667,14.166666666666666,19.166666666666668,0.10833333333333334,10.833333333333334,False,17,21.25,16.50485436893204,14.166666666666666,ACCEPT decisions,17
block,bootstrap,baseline_linked,7,paper_natural,0.25,Support only,120,103,0,17,85.83333333333333,14.166666666666666,0.0,0.10833333333333334,10.833333333333334,False,4,3.883495145631068,3.883495145631068,3.3333333333333335,ACCEPT decisions,52
block,bootstrap,baseline_linked,17,paper_natural,0.25,LCB only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,33,27.5,27.5,27.5,ACCEPT decisions,60
block,bootstrap,baseline_linked,17,paper_natural,0.25,Risk only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,32,26.666666666666668,26.666666666666668,26.666666666666668,ACCEPT decisions,32
block,bootstrap,baseline_linked,17,paper_natural,0.25,SCROPE++,120,85,21,14,70.83333333333333,11.666666666666666,17.5,0.13333333333333333,13.333333333333334,False,22,25.88235294117647,20.754716981132077,18.333333333333332,ACCEPT decisions,22
block,bootstrap,baseline_linked,17,paper_natural,0.25,Support only,120,106,0,14,88.33333333333333,11.666666666666666,0.0,0.13333333333333333,13.333333333333334,False,4,3.7735849056603774,3.7735849056603774,3.3333333333333335,ACCEPT decisions,56
block,bootstrap,baseline_linked,27,paper_natural,0.25,LCB only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,35,29.166666666666668,29.166666666666668,29.166666666666668,ACCEPT decisions,61
block,bootstrap,baseline_linked,27,paper_natural,0.25,Risk only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,36,30.0,30.0,30.0,ACCEPT decisions,36
block,bootstrap,baseline_linked,27,paper_natural,0.25,SCROPE++,120,84,18,18,70.0,15.0,15.0,0.1,10.0,True,21,25.0,20.58823529411765,17.5,ACCEPT decisions,21
block,bootstrap,baseline_linked,27,paper_natural,0.25,Support only,120,102,0,18,85.0,15.0,0.0,0.1,10.0,True,3,2.9411764705882355,2.9411764705882355,2.5,ACCEPT decisions,52
block,bootstrap,fixed_0.10_sensitivity,7,paper_natural,0.25,LCB only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,38,31.666666666666668,31.666666666666668,31.666666666666668,ACCEPT decisions,70
block,bootstrap,fixed_0.10_sensitivity,7,paper_natural,0.25,Risk only,120,120,0,0,100.0,0.0,0.0,0.25,25.0,False,60,50.0,50.0,50.0,ACCEPT decisions,60
